,test_rmse,train_rmse,test_evs,train_evs,test_r2,train_r2
2,0.15610958030501218,0.10000184483803277,0.6928609576255347,0.8683570285537157,0.6928609127377001,0.8683253733050464
3,0.15809512285963995,0.1002405230549599,0.6749188411453948,0.8687598422348992,0.674911211773549,0.8687084801492971
4,0.16236348779152115,0.09872880561169103,0.6572423501052289,0.8728991112409372,0.6557055148538882,0.872773816877598
0,0.15636347260520694,0.10023075519150196,0.6635162467389444,0.8706110734835363,0.6635076814028398,0.8705557528624535
1,0.16082454771564847,0.09861636292328733,0.6661152588361545,0.8728461332916254,0.6657118408095362,0.8727909883465373
2,0.1560904242008774,0.09996480498350584,0.692936290049194,0.8684547987165048,0.6929362857845347,0.8684228976214563
3,0.1581273428212748,0.1002046012075579,0.6747865199385968,0.8688523798514503,0.6747786913587885,0.8688025616395147
4,0.16237009015035528,0.09868934476262455,0.6572282926655353,0.8730011180546651,0.655677513460418,0.8728754984459638
0,0.1563928976696532,0.10017351284370878,0.6633895164473951,0.8707558500097837,0.6633810247147007,0.8707035633172737
1,0.16082413292365394,0.09859735700518796,0.6661137212007857,0.8728947073221404,0.6657135651715872,0.8728400165403667
2,0.15607895027781474,0.09991463801408074,0.6929814780696131,0.8685863772714398,0.6929814275151351,0.8685549274528239
3,0.15831009292259263,0.100099330813842,0.6740351263296045,0.8691264953356279,0.6740265308462533,0.8690780769574172
4,0.16233203225621975,0.09865820344777872,0.6573895405234844,0.8730812389422634,0.6558389059063412,0.8729557137830039
0,0.1564532866522345,0.10012561887042995,0.6631305153678785,0.8708793013295454,0.6631210128798566,0.8708271696390333
1,0.160785750920019,0.09856736014355517,0.6662708513171476,0.8729714213172811,0.6658731065521164,0.8729173780499653
2,0.15607685453219433,0.09986827882607874,0.6929896938214204,0.8687072551519867,0.6929896724259024,0.8686768770140216
3,0.15827890994084753,0.10005755670086947,0.6741638758527335,0.8692355782435744,0.6741549348342362,0.8691873285567838
4,0.16232095242464695,0.09861654980310175,0.6574217242551718,0.8731885065770658,0.6558858851348833,0.8730629677214752
0,0.15626710789967588,0.10012234838580202,0.6639320293718771,0.87088823579623,0.6639223049821998,0.8708356080559194
